Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7",0402,7,0.22uF,
"C10, C14",0402,2,0.1uF,
"C15, C17, C22, C23",0603,4,0.1uF,
"C16, C21",1210,2,10uF,
"C18, C24",0402,2,6.8nF,
"C19, C20, C25, C26",1210,4,22uF,
C8,0402,1,1uF,
C9,0402,1,0.47uF,
D1,D_SOD-123,1,S1AFL,
D2,0603,1,LED,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,Jumper_2_Small_Open,
L1,L_7.3x7.3_H4.5,1,4.7uH,
L2,L_7.3x7.3_H4.5,1,3.3uH,
Q1,ST_PowerFLAT-6L_5x6mm_P1.27mm,1,STL325N4LF8AG,
"R1, R2, R3, R4, R5, R6, R7",0402,7,47,
"R10, R11, R22, R8",0402,4,100,
R12,3920,1,0.001,
"R13, R17, R21, R26, R27",0402,5,10k,
R14,0402,1,430k,
R15,0402,1,82k,
R18,0402,1,6.8k,
R19,0402,1,75k,
R20,0402,1,24k,
R9,0402,1,1M,
U1,TQFP-48_7x7mm_P0.5mm,1,BQ76942,
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32G031K8Ux,
"U3, U4",HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm,2,BD9E302EFJ,
