Designator,Mid X,Mid Y,Rotation,Layer
C1,157.0,-123.3,270.0,top
C10,159.84,-115.73,90.0,top
C14,149.9,-116.29,90.0,top
C15,143.285,-113.7,180.0,bottom
C16,143.55,-110.665,270.0,bottom
C17,146.645,-113.1,0.0,bottom
C18,146.72,-123.2575,90.0,bottom
C19,133.25,-119.815,90.0,bottom
C2,155.0,-123.3,90.0,top
C20,133.25,-115.22,270.0,bottom
C21,156.545,-122.0,0.0,bottom
C22,153.51,-122.815,90.0,bottom
C23,157.625,-119.67,0.0,bottom
C24,152.68,-111.9125,270.0,bottom
C25,166.25,-119.475,90.0,bottom
C26,166.25,-114.875,270.0,bottom
C3,153.0,-123.3,90.0,top
C4,151.0,-123.3,90.0,top
C5,149.0,-123.3,90.0,top
C6,147.0,-123.3,90.0,top
C7,145.0,-123.3,90.0,top
C8,138.64,-120.44,90.0,top
C9,138.64,-118.62,270.0,top
D1,137.95,-115.36,90.0,top
D2,155.5,-110.5325,270.0,top
L1,139.18,-118.33,0.0,bottom
L2,160.25,-114.5,180.0,bottom
Q1,151.0,-96.0,0.0,top
R1,156.0,-123.3,90.0,top
R10,150.9,-114.45,90.0,top
R11,149.9,-114.45,270.0,top
R12,150.0,-104.0,0.0,top
R13,146.1,-114.3,180.0,bottom
R14,148.11,-123.58,180.0,bottom
R15,148.11,-122.64,0.0,bottom
R17,153.31,-120.87,0.0,bottom
R18,153.61,-112.07,90.0,bottom
R19,151.29,-111.59,0.0,bottom
R2,154.0,-123.3,90.0,top
R20,151.29,-112.53,180.0,bottom
R21,145.79,-123.1,270.0,bottom
R22,154.2,-110.25,270.0,top
R26,135.5,-115.0,0.0,top
R27,135.5,-114.0,180.0,top
R3,152.0,-123.3,90.0,top
R4,150.0,-123.3,90.0,top
R5,148.0,-123.3,90.0,top
R6,146.0,-123.3,90.0,top
R7,144.0,-123.3,90.0,top
R8,137.71,-118.64,270.0,top
R9,146.5,-99.85,180.0,top
U1,144.25,-116.63,0.0,top
U2,156.25,-115.5,270.0,top
U3,146.085,-118.47,270.0,bottom
U4,153.32,-116.7,90.0,bottom
